date,0,1,2,3,4,5
2015-03-26,0.9940693130186796,4.9594940086857656e-05,1.0737875724387436e-87,0.00588109203653632,2.2091473952948405e-13,4.4760521487339776e-12
2015-03-27,0.9693209352752439,0.013591244193973702,2.7213932212191193e-61,0.017087755108861732,6.533108899640765e-08,9.083007551304705e-11
2015-03-30,0.9636463424412081,0.006376073653876765,6.6837860168278385e-68,0.029977578773864824,5.095343485315567e-09,3.570843778278342e-11
2015-03-31,0.8212812660585772,1.6344072921547527e-06,2.855971994437368e-71,0.17871707548770202,2.4041768933502924e-08,4.6586317115507946e-12
2015-04-01,0.898782398907963,7.31318588072629e-05,1.654595865050808e-89,0.10114446501983447,8.517222299983116e-15,4.213387604561229e-09
2015-04-02,0.16974555170083672,1.7825068182039819e-06,4.607653066187624e-100,0.8302526657040386,1.757288957931847e-17,8.830608001743591e-11
2015-04-03,0.8603119825847679,0.0002629531916777969,8.588790529438053e-93,0.1394250642232311,3.291561989618963e-15,3.1860510854054465e-13
2015-04-06,0.8501719375718202,0.007616725447866296,9.254554323044659e-77,0.14221133696065216,1.9334744194554193e-11,3.2764465175151275e-13
2015-04-07,0.8404961203845664,0.006016487726996497,4.259566092921905e-82,0.1534873918870135,1.1810727913218143e-12,2.4119486799423166e-13
2015-04-08,0.0029981676734594084,1.2917726781714361e-08,1.4904247536436211e-111,0.9970018194088125,1.1703575566255194e-20,1.719419850531315e-16
2015-04-09,4.414951596084166e-06,1.4662236375132643e-11,3.910110069015357e-140,0.9999955850337416,2.0804414825246715e-28,5.895462824423907e-18
2015-04-10,2.818894712584407e-06,2.0354344300991532e-10,4.3734359867674864e-125,0.9999971809017455,1.468471298743614e-23,1.7837408811748283e-17
2015-04-13,2.0847235051425188e-05,9.404335759102275e-16,5.870880742113553e-158,0.9999791527649484,1.0629771041343012e-29,4.3920522248188726e-17
2015-04-14,0.000556599623803171,1.5900445411784577e-08,5.968776226570264e-132,0.9994433844757505,1.2876899108994732e-26,5.688873400684981e-16
2015-04-15,6.852931895929032e-06,1.4164051643507173e-08,8.495612548385346e-104,0.9999931329040513,2.10732001470531e-19,7.622417846587718e-17
2015-04-16,1.0831939657225228e-06,2.3660003888491394e-08,1.3680763865171422e-72,0.9999988931411586,4.87119196356419e-12,1.4452886108801521e-16
2015-04-17,3.239682817059534e-05,2.7888567973094024e-09,2.2466459424143758e-89,0.9999676003829673,1.5167178714241978e-15,5.044328556512174e-15
2015-04-20,4.89442363352051e-07,3.9160620331264083e-17,2.64302615988013e-184,0.999999510557635,1.2757702434577463e-38,5.709852055091441e-20
2015-04-21,3.515740093039897e-07,1.6769517438392057e-10,2.910477973400976e-136,0.9999996482582972,6.2634511232719905e-28,6.061493899916857e-18
2015-04-22,1.7200173125375816e-07,3.841263912958221e-13,1.544982073293236e-151,0.9999998279978831,8.054095458879849e-30,1.7766713017643987e-18
2015-04-23,3.817825765841025e-06,7.477409645828748e-16,7.396014346504546e-164,0.9999961821742338,9.649230354894808e-32,7.9803897098895115e-19
2015-04-24,4.998597494439483e-07,6.07489934224402e-13,8.021994179092147e-147,0.9999995001396448,1.9749715276720488e-29,2.8898285617449764e-19
2015-04-27,5.92888931076022e-07,3.162066062737844e-11,1.5645424305450632e-97,0.9999994070794481,1.5001892488064594e-18,6.473527323645321e-17
2015-04-28,1.0663210992056819e-06,6.615362074894092e-08,6.706739708377212e-64,0.9999988675096727,1.5607353694697997e-11,1.0854859093406427e-17
2015-04-29,1.3398984828199864e-06,1.8731386268358515e-08,5.595087371942636e-70,0.9999986413663137,3.815962699963053e-12,2.7764913892005607e-16
2015-04-30,2.3103990407100332e-05,4.30064346255208e-06,1.416274121691962e-54,0.9999725852939444,1.0072182295428615e-08,2.1618852532895083e-15
2015-05-01,2.333996038337743e-06,4.0404937368224313e-11,1.1926509079262118e-100,0.9999976659635574,4.888453294302699e-18,8.176159634645314e-17
2015-05-04,1.5163121672222356e-06,1.0957839313377611e-08,4.247956080058273e-66,0.9999984726493925,8.060155615660299e-11,6.648637303860952e-17
2015-05-05,1.014587133324469e-05,2.3757526553698616e-08,1.424583299586165e-68,0.9999898303674342,3.693372816726594e-12,1.3101344752243973e-14
2015-05-06,2.9481808464856887e-05,9.707582147122198e-10,1.1685948860523178e-76,0.999970517220576,1.98005113491683e-13,1.8393910324547386e-15
2015-05-07,0.0005545734676087579,3.118186812583568e-10,1.614192096934598e-87,0.9994454262203559,1.2340230038486468e-14,2.0565539539099625e-13
2015-05-08,0.0010387959930502758,8.537241913095731e-06,2.7163955141957262e-68,0.9989526666122306,1.514546672339602e-10,1.35094872527364e-12
2015-05-11,0.003579437373627647,1.8898166557968314e-07,2.0023313421605753e-71,0.9964203734875253,3.057641519690127e-11,1.2660395848684822e-10
2015-05-12,0.006087332774237128,1.9663583457639592e-08,2.1861532091964892e-88,0.9939126208828424,4.150219313102518e-15,2.667933245482282e-08
2015-05-13,0.004432672491620668,6.43418546574015e-11,2.6054678676008257e-98,0.9955673003364106,1.192855888054653e-16,2.7107627163889666e-08
2015-05-14,0.005695296536354019,1.6855023544078575e-09,1.3058241088679915e-102,0.9943046755293843,1.2450057547246686e-16,2.6248759557048996e-08
2015-05-15,0.023344732020659547,2.6209298732000494e-05,1.7635250362401662e-76,0.9766280013739085,3.3860564349162313e-12,1.057303314348104e-06
2015-05-18,0.14664622701296398,8.7086234597273e-06,1.202577933894266e-89,0.8533450153717029,3.733054243493529e-13,4.899149969504348e-08
2015-05-19,0.1690981091774757,1.1293838638575254e-10,1.626129103075081e-114,0.8308991945502574,7.27228787856956e-17,2.696159327068647e-06
2015-05-20,0.8177658613464988,1.8904467943264446e-11,4.2898473986087547e-128,0.1822336010285245,1.2181033570166488e-18,5.376060722563767e-07
2015-05-21,0.6554427548367775,0.001957990865163114,1.3206996333768552e-74,0.3425980136800988,5.715773358106606e-09,1.2349021855144715e-06
