date,entropy,confidence
2015-03-26,1.8652026779429297e-10,0.9999999999930118
2015-03-27,0.00024692854995018667,0.999980220499272
2015-03-30,0.0003136401213300514,0.999973300336903
2015-03-31,0.0020419474330539106,0.9997836604560264
2015-04-01,0.0014665181682267565,0.9998504772221477
2015-04-02,0.051794313213194276,0.9909062744623123
2015-04-03,0.006445234447598698,0.9992082950903104
2015-04-06,0.0038572031189410237,0.9995583337550948
2015-04-07,0.002845386685495712,0.9996863073136462
2015-04-08,0.6714984654315538,0.6036630020691789
2015-04-09,0.0014960614588511766,0.9998471187151828
2015-04-10,4.3454225209693724e-07,0.9999999766004637
2015-04-13,2.4267197452379187e-10,0.9999999999907914
2015-04-14,2.9630273849549573e-10,0.9999999999886882
2015-04-15,1.767223974630749e-11,0.9999999999993747
2015-04-16,6.519683537253325e-11,0.9999999999976694
2015-04-17,4.654659160006448e-11,0.9999999999983515
2015-04-20,2.339790320130898e-12,0.9999999999999432
2015-04-21,2.443317421237423e-12,0.9999999999999432
2015-04-22,2.0200420189807205e-12,0.9999999999999432
2015-04-23,1.1985919132489096e-11,0.9999999999996021
2015-04-24,3.2513457876118417e-12,0.9999999999998863
2015-04-27,2.443650085264965e-12,0.9999999999999432
2015-04-28,1.9388266061836314e-09,0.9999999999200782
2015-04-29,2.971515978695166e-10,0.999999999988745
2015-04-30,2.76415881091442e-07,0.9999999854894669
2015-05-01,3.833832362880612e-12,0.9999999999998863
2015-05-04,8.807167782392874e-10,0.9999999999648708
2015-05-05,2.163568174941384e-10,0.9999999999919282
2015-05-06,1.1391787451107288e-11,0.9999999999996589
2015-05-07,8.108067706796833e-11,0.9999999999970441
2015-05-08,6.163551363888824e-08,0.9999999970165163
2015-05-11,1.5579272092453863e-09,0.9999999999381544
2015-05-12,1.8050184026201233e-09,0.9999999999257625
2015-05-13,1.364527118535449e-09,0.9999999999445208
2015-05-14,1.7610702135951597e-09,0.9999999999276952
2015-05-15,2.7022926115836e-08,0.9999999987803676
2015-05-18,4.9037913626419935e-08,0.9999999976564595
2015-05-19,1.161976254924487e-07,0.9999999941790065
2015-05-20,3.196860349437629e-06,0.9999998057080763
2015-05-21,4.070188567387327e-05,0.9999970881738466
2015-05-22,5.4840226723694374e-05,0.9999959095368454
2015-05-25,7.865869939455218e-06,0.999999492308704
2015-05-26,1.635837870065072e-09,0.9999999999330385
2015-05-27,3.0591659298928187e-10,0.9999999999882903
2015-05-28,1.8760612404561095e-12,0.9999999999998863
2015-05-29,6.935465528567955e-12,0.9999999999997726
2015-06-01,2.9046764941834132e-11,0.9999999999989768
2015-06-02,2.848321156140495e-12,0.9999999999998863
2015-06-03,5.392729503864864e-10,0.9999999999789679
2015-06-04,2.2358581242473024e-09,0.9999999999072315
2015-06-05,1.0321808529824007e-08,0.9999999995413873
2015-06-08,1.9824981769141754e-08,0.9999999990914148
2015-06-09,4.7251824661637084e-09,0.99999999979741
2015-06-10,5.3890422627545346e-11,0.999999999998181
2015-06-11,2.2096838187436432e-11,0.9999999999993179
2015-06-12,7.164113865947647e-10,0.9999999999715783
2015-06-15,3.393710116827901e-11,0.9999999999988631
2015-06-16,5.655919496653125e-12,0.9999999999997726
2015-06-17,1.4800708521217294e-11,0.9999999999995453
2015-06-18,7.870918392621313e-13,1.0
2015-06-19,6.654414880613901e-12,0.9999999999997726
2015-06-22,8.88462061287168e-12,0.9999999999997726
2015-06-23,2.9547485181668814e-10,0.9999999999888587
2015-06-24,2.3158322063450802e-12,1.0
2015-06-25,1.240138690372988e-11,0.9999999999995453
2015-06-26,5.354235731156315e-12,0.9999999999997726
2015-06-29,2.813301929658685e-12,1.0
2015-06-30,7.733746897051037e-12,0.9999999999997726
2015-07-01,1.357281402859559e-12,1.0
2015-07-02,2.7347047397825697e-13,1.0
