cost,allocation_scale,annualized_return,annualized_volatility,sharpe_rf_zero,sortino_target_zero,max_drawdown,calmar,annual_turnover,sum_cost_fractions,ending_nav
0.0,0.8,-0.11803331818803553,0.08994052897431197,-1.3510404175946915,-1.648090724125736,-0.19578975577857027,-0.6028574769842713,3.289928127954161,0.0,0.840760029512354
0.0,1.0,-0.14246473214584465,0.10486402270364786,-1.4125562706032537,-1.724772952140381,-0.2338308547758816,-0.6092640437994888,3.7449002725251073,0.0,0.8087684052703545
0.0,1.2,-0.16653241999349422,0.12098988456445646,-1.4442478101895102,-1.7679914978169402,-0.2703885456618397,-0.6159004242796857,4.126866260405069,0.0,0.7775907356359687
0.0005,0.8,-0.11948285343238352,0.0900014093099255,-1.3683310241615276,-1.6679219609696168,-0.1970542378257295,-0.6063450081091459,3.28946740562034,0.00227129892292833,0.8388524118458178
0.0005,1.0,-0.1440688436334644,0.10494331968390497,-1.4292376921766785,-1.7437717500726753,-0.23528135065497724,-0.6123258100669897,3.7443670105530233,0.002585396269191373,0.8066799238800557
0.0005,1.2,-0.16825037251240027,0.12108685976638375,-1.4600181119602171,-1.785892054787408,-0.2719835994019635,-0.6186048455949129,4.126249559834314,0.002849077077028455,0.7753782441363216
0.001,0.8,-0.12092985547732849,0.09006530087155061,-1.385546836018713,-1.687608823800393,-0.19831674215634465,-0.6097813737883634,3.2890071580835767,0.004541962265924941,0.8369493207477928
0.001,1.0,-0.1456697986177946,0.10502570422861982,-1.4458463681918308,-1.7626316993093072,-0.23672909649282903,-0.615343871015058,3.743834304156869,0.005170056896216629,0.8045970382531265
0.001,1.2,-0.1699646268130629,0.12118705900187339,-1.4757188575516582,-1.8036613346967525,-0.2735751543860523,-0.6212721589959129,4.125633691548963,0.0056973036692819015,0.7731722500313468
0.002,0.8,-0.12381627976239284,0.09020206576989909,-1.4197486780918152,-1.7265429089114146,-0.2008358306397653,-0.6165049302605735,3.288088085099196,0.00908138613979778,0.8331566720738756
0.002,1.0,-0.14886226648764533,0.10519968229040434,-1.4788411172413118,-1.7999302994309503,-0.23961635994674146,-0.6212525159831839,3.7427705557124598,0.010337175820539175,0.8004479904320756
0.002,1.2,-0.1733820765336781,0.1213970734083141,-1.506908114682676,-1.8388021072453848,-0.2767478012878013,-0.6264984788564626,4.124404448975697,0.011391212287647164,0.7687796720352177
0.005,0.8,-0.1324152684683335,0.09068323804608476,-1.5204247768642103,-1.8397258146722568,-0.2083459671184107,-0.6355547472300102,3.285342201631435,0.022684505677931344,0.8218861687218232
0.005,1.0,-0.15836462368513105,0.10579428467643728,-1.5759710008715064,-1.9083822189629909,-0.2482127166395378,-0.6380197833099465,3.7395925825389966,0.025820996403245446,0.7881334938635158
0.005,1.2,-0.18354659410874075,0.12210299993588848,-1.5987181372654407,-1.9409753905799219,-0.28618263109352404,-0.6413617535326873,4.12073662208965,0.02845270524776186,0.7557557570350131
