date,0,1,2,3,4
2015-03-26,0.9853066065666007,2.5684566906452373e-07,0.00022726242394960342,7.216595479998447e-88,0.014465874163781124
2015-03-27,0.9497321194457394,0.0002736637215660293,0.0012306659977719236,9.193957186189494e-62,0.0487635508349223
2015-03-30,0.921822410536727,3.2448899356116745e-05,0.0005352464242501308,1.3238150051214338e-68,0.07760989413966833
2015-03-31,0.7266245507495432,1.3591227899911802e-06,4.1618092856026715e-05,7.979584376894319e-72,0.27333247203480926
2015-04-01,0.6821625995999774,1.5153751302725848e-08,0.0030290372188552946,9.689489433325362e-90,0.3148083480274148
2015-04-02,0.05025976240842944,1.2509263687528525e-10,2.798772491554056e-05,1.292597934751541e-100,0.9497122497415641
2015-04-03,0.8305507352439593,2.30408745471846e-08,8.919303952670173e-06,1.6542947064755674e-93,0.16944032241121376
2015-04-06,0.8462776357052143,1.2390057874592095e-05,7.325084046445781e-06,3.276562234323897e-77,0.15370264915286344
2015-04-07,0.7684330121210429,1.9203033726856376e-06,1.0451892476070134e-05,8.939133202919646e-83,0.23155461568310995
2015-04-08,0.0005049510772289223,1.4065215200249906e-13,2.9389840196696644e-09,4.830154863603666e-112,0.9994950459836456
2015-04-09,4.745169626742949e-08,2.5431020617270097e-18,1.0232459484848119e-11,1.8346378455149024e-140,0.9999999525380698
2015-04-10,1.7274079751097855e-08,3.933478247118296e-15,1.9004333082873367e-11,1.605602161750133e-125,0.9999999827069105
2015-04-13,5.162930024330862e-07,1.1805076567567166e-20,3.46850132827141e-11,1.2110892853421043e-158,0.9999994836723137
2015-04-14,8.228765372639124e-05,6.412298498316105e-15,4.306334066314705e-10,3.6883870797908814e-132,0.9999177119156325
2015-04-15,1.945306229281707e-07,2.267400628523655e-12,1.758122217446969e-11,3.801595046889913e-104,0.9999998054495276
2015-04-16,1.1630327570756332e-08,1.3511783891873682e-09,9.375065339562889e-12,1.7384417968707578e-73,0.9999999870091189
2015-04-17,5.38017166943172e-06,7.15354132370954e-12,2.3199519594038987e-10,2.478490224599829e-90,0.9999946195891816
2015-04-20,8.760234329335317e-09,3.806588624316514e-25,2.3090988523267725e-14,3.7843546471202294e-184,0.9999999912397435
2015-04-21,7.05986352794162e-09,2.158490779597199e-16,2.8401661421208863e-13,4.008835836013718e-136,0.999999992939852
2015-04-22,1.7180870516076033e-09,1.1835500283849633e-18,8.139072733181087e-14,1.1998686685880467e-151,0.9999999982818331
2015-04-23,5.317784656401822e-08,1.1653770538559819e-20,2.0491031773379005e-13,7.06551453011061e-164,0.9999999468219493
2015-04-24,4.9770967455414526e-09,5.400876732579643e-19,1.2593676841747462e-13,6.040433422146186e-147,0.999999995022776
2015-04-27,4.752037926741579e-08,2.5802897329675316e-14,9.011823565407017e-13,1.186248533241421e-98,0.9999999524786933
2015-04-28,2.564794229048756e-07,5.299508754260898e-09,6.935397194711444e-13,7.297436771289471e-65,0.9999997382203732
2015-04-29,8.040748085519929e-08,1.7677149696143559e-09,4.840713623154366e-12,6.3634729499239504e-71,0.9999999178199628
2015-04-30,9.952759027886439e-06,2.267903556234817e-06,2.3701658975952956e-11,2.143487468420099e-55,0.9999877793137153
2015-05-01,5.082695629548175e-07,6.267104607750091e-14,1.259389403281967e-12,1.4782569905450163e-101,0.9999994917291145
2015-05-04,4.0828052778676825e-07,7.512275507150778e-09,1.2187665421219564e-12,7.121235212796713e-67,0.9999995842059779
2015-05-05,3.709256534799733e-06,1.3509424051253122e-09,6.553361584137113e-11,2.428822622163114e-69,0.9999962893269896
2015-05-06,3.0234004138518726e-05,3.6593657015703886e-11,3.124362840150516e-11,3.0022010712795856e-77,0.9999697659280237
2015-05-07,0.0006822069313011112,1.0360479195599279e-11,1.2544658565434083e-09,4.580056809733901e-88,0.9993177918038731
2015-05-08,0.0013414744661446587,1.610588242515033e-07,4.6269188058672736e-09,2.0201614516698584e-69,0.9986583598481121
2015-05-11,0.003093068689818002,1.5517903567970994e-08,1.2030025968446909e-07,2.859426617596151e-72,0.9969067954920201
2015-05-12,0.0021926256033081926,6.185095241729415e-11,4.272712530800937e-06,4.955600800089901e-89,0.9978031016223087
2015-05-13,0.0010662808633919991,2.9481461903106064e-13,4.000949375529357e-06,5.666802628569364e-99,0.9989297181869378
2015-05-14,0.0020271803949489914,1.930364815315267e-12,3.7448596751912785e-06,1.0301323416852527e-103,0.9979690747434462
2015-05-15,0.005181380131041888,3.8702586500222996e-08,7.569573771319373e-05,1.7143618318396823e-77,0.9947428854286581
2015-05-18,0.01635609193669594,5.0684195315758845e-09,1.526200391659164e-05,1.2557852515565109e-90,0.9836286409909689
2015-05-19,0.017738532858621647,2.2776547895906136e-13,9.144488774523877e-05,1.031950650134983e-115,0.982170022253405
2015-05-20,0.08458105119200895,1.479925766799481e-13,0.0008338766723683848,1.748870587586819e-128,0.9145850721354731
2015-05-21,0.04742627937513033,3.217788619960393e-05,0.0007204569564138651,3.099455738147321e-75,0.9518210857822553
2015-05-22,0.030188559185879232,1.276526567724253e-11,9.465487893912557e-05,2.250031504498489e-109,0.9697167859224154
2015-05-25,0.012458627194850566,9.757015367976326e-10,8.087941227866687e-06,2.3193547706256075e-95,0.9875332838882216
2015-05-26,3.7076808323745024e-05,4.5355697926214734e-18,4.4898067735492235e-10,6.690242374761022e-141,0.9999629227426959
2015-05-27,0.00030948470242970794,1.4960533998533247e-19,1.0798049503319023e-07,4.995000675608743e-152,0.9996904073170768
2015-05-28,5.416923743434333e-07,6.412787326001627e-18,2.882298745924351e-11,7.83661213177567e-141,0.9999994582788017
2015-05-29,7.565432753879529e-06,1.9707036944918284e-15,2.2606223606561586e-10,2.803061010108054e-127,0.9999924343411832
2015-06-01,5.710207819733535e-05,1.5585671843307749e-18,7.062231893488823e-10,1.1551711039323521e-147,0.9999428972155795
2015-06-02,2.518588896459265e-06,6.805869497646259e-16,6.708312544126166e-12,1.726775988272622e-120,0.999997481404395
