k,seed,train_loglik,validation_loglik,min_training_occupancy,iterations,last_training_ll_change
2,7,-9.129509012310493,-6.956984730159145,0.4518950437317784,11,1.8614507183956448
3,99,-7.902997614616572,-6.03312452939335,0.15319374503047972,14,2.640159029448114
4,7,-7.150153795542868,-5.482447853152148,0.13517095149748212,21,0.9199444729856623
